collegeName,country,dateOfBirthUTC,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,temporaryDisplayName,weightKilograms,weightPounds,yearsPro
 ,Turkey,1997-07-24,Furkan,6,7,2.01,1,30,Turkey/Turkey,Korkmaz,2017,1627788,G-F,1610612755,"Korkmaz, Furkan",86.2,190,2
Vanderbilt,USA,1995-07-15,Luke,7,1,2.16,1,2,Vanderbilt/USA,Kornet,2017,1628436,F-C,1610612741,"Kornet, Luke",113.4,250,2
Creighton,USA,1981-03-17,Kyle,6,7,2.01,1,,Creighton/USA,Korver,2003,2594,G-F,1610612749,"Korver, Kyle",96.2,212,16
 ,Latvia,1998-02-05,Rodions,6,9,2.06,1,00,Latvia/Latvia,Kurucs,2018,1629066,F,1610612751,"Kurucs, Rodions",95.3,210,1
Utah,USA,1995-07-24,Kyle,6,9,2.06,1,0,Utah/USA,Kuzma,2017,1628398,F,1610612747,"Kuzma, Kyle",99.8,220,2
Kentucky,Haiti,1996-03-18,Skal,6,11,2.11,1,17,Kentucky/Haiti,Labissiere,2016,1627746,F,1610612757,"Labissiere, Skal",106.6,235,3
Connecticut,USA,1992-05-30,Jeremy,6,5,1.96,1,26,Connecticut/USA,Lamb,2012,203087,G,1610612754,"Lamb, Jeremy",83.9,185,7
Indiana University,USA,1999-10-25,Romeo,6,6,1.98,1,45,Indiana University/USA,Langford,,1629641,G,1610612738,"Langford, Romeo",97.5,215,0
UCLA,USA,1995-03-10,Zach,6,5,1.96,1,8,UCLA/USA,LaVine,2014,203897,G,1610612741,"LaVine, Zach",90.7,200,5
Northwestern,,1995-12-19,Vic,6,7,2.01,1,23,Northwestern,Law,,1629724,F,1610612753,"Law, Vic",90.7,200,0
UCLA,USA,1997-04-30,TJ,6,10,2.08,1,22,UCLA/USA,Leaf,2017,1628388,F,1610612754,"Leaf, TJ",102.1,225,2
 ,USA,2000-06-13,Jalen,6,4,1.93,1,0, /USA,Lecque,,1629665,G,1610612756,"Lecque, Jalen",83.9,185,0
Western Kentucky,USA,1985-10-03,Courtney,6,5,1.96,1,1,Western Kentucky/USA,Lee,2008,201584,G,1610612742,"Lee, Courtney",97.5,215,11
Louisville,USA,1992-10-21,Damion,6,6,1.98,1,1,Louisville/USA,Lee,2017,1627814,G,1610612744,"Lee, Damion",95.3,210,2
Maryland,Ukraine,1993-06-16,Alex,7,1,2.16,1,25,Maryland/Ukraine,Len,2013,203458,C,1610612737,"Len, Alex",113.4,250,6
San Diego State,USA,1991-06-29,Kawhi,6,7,2.01,1,,San Diego State/USA,Leonard,2011,202695,F,1610612746,"Leonard, Kawhi",104.3,230,8
Illinois,USA,1992-02-27,Meyers,7,1,2.16,1,0,Illinois/USA,Leonard,2012,203086,F-C,1610612748,"Leonard, Meyers",115.7,255,7
 ,France,1995-09-29,Mathias,6,9,2.06,1,,France/France,Lessort,,1628406,F,1610612746,"Lessort, Mathias",106.6,235,0
Michigan,USA,1994-08-25,Caris,6,7,2.01,1,22,Michigan/USA,LeVert,2016,1627747,G,1610612751,"LeVert, Caris",92.5,204,3
Weber State,USA,1990-07-15,Damian,6,3,1.9,1,0,Weber State/USA,Lillard,2012,203081,G,1610612757,"Lillard, Damian",88.5,195,7
