collegeName,country,dateOfBirthUTC,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,temporaryDisplayName,weightKilograms,weightPounds,yearsPro
Duke,USA,1990-03-05,Mason,6,11,2.11,1,24,Duke/USA,Plumlee,2013,203486,F-C,1610612743,"Plumlee, Mason",106.6,235,6
Duke,USA,1988-09-01,Miles,6,11,2.11,1,,Duke/USA,Plumlee,2012,203101,C-F,1610612763,"Plumlee, Miles",112.9,249,7
Utah,Austria,1995-10-15,Jakob,7,0,2.13,1,25,Utah/Austria,Poeltl,2016,1627751,C,1610612759,"Poeltl, Jakob",104.3,230,3
 ,France,1993-10-17,Vincent,7,0,2.13,1,,France/France,Poirier,,1629738,C,1610612738,"Poirier, Vincent",115.7,255,0
Washington,USA,1988-03-10,Quincy,6,7,2.01,1,3,Washington/USA,Pondexter,2010,202347,F,1610612759,"Pondexter, Quincy",104.3,230,9
St. John's University,USA,1998-06-29,Shamorie,6,1,1.85,1,,St. John's University/USA,Ponds,,1629044,G,1610612745,"Ponds, Shamorie",81.6,180,0
University of Michigan,USA,1999-06-19,Jordan,6,5,1.96,1,,University of Michigan/USA,Poole,,1629673,G,1610612744,"Poole, Jordan",86.6,191,0
University of Southern California,USA,2000-05-04,Kevin,6,6,1.98,1,,University of Southern California/USA,Porter Jr.,,1629645,G,1610612739,"Porter Jr., Kevin",98.0,216,0
University of Missouri,USA,1998-06-29,Michael,6,10,2.08,1,1,University of Missouri/USA,Porter Jr.,,1629008,F,1610612743,"Porter Jr., Michael",95.3,210,1
Georgetown,USA,1993-06-03,Otto,6,8,2.03,1,22,Georgetown/USA,Porter Jr.,2013,203490,F,1610612741,"Porter Jr., Otto",89.8,198,6
Arkansas,USA,1995-02-10,Bobby,6,11,2.11,1,,Arkansas/USA,Portis,2015,1626171,F,1610612752,"Portis, Bobby",113.4,250,4
 ,Latvia,1995-08-02,Kristaps,7,3,2.21,1,6,Cajasol Sevilla/Latvia,Porzingis,2015,204001,F-C,1610612742,"Porzingis, Kristaps",108.9,240,4
Stanford,Canada,1991-07-20,Dwight,6,11,2.11,1,7,Stanford/Canada,Powell,2014,203939,F-C,1610612742,"Powell, Dwight",108.9,240,5
UCLA,USA,1993-05-25,Norman,6,4,1.93,1,24,UCLA/USA,Powell,2015,1626181,F-G,1610612761,"Powell, Norman",97.5,215,4
Baylor,USA,1994-03-22,Taurean,6,8,2.03,1,,Baylor/USA,Prince,2016,1627752,F,1610612751,"Prince, Taurean",99.8,220,3
"University of California, Berkeley",USA,1997-02-04,Ivan,6,10,2.08,1,10,California/USA,Rabb,2017,1628397,F,1610612763,"Rabb, Ivan",99.8,220,2
Kentucky,USA,1994-11-29,Julius,6,9,2.06,1,,Kentucky/USA,Randle,2014,203944,C-F,1610612752,"Randle, Julius",113.4,250,5
Pennsylvania State University,USA,1997-06-04,Josh,6,5,1.96,1,,Penn State/USA,Reaves,,1629729,G,1610612742,"Reaves, Josh",97.1,214,0
Duke University,USA,1999-09-01,Cameron,6,8,2.03,1,22,Duke University/USA,Reddish,,1629629,F-G,1610612737,"Reddish, Cameron",94.3,208,0
Duke,USA,1984-06-24,JJ,6,4,1.93,1,4,Duke/USA,Redick,2006,200755,G,1610612740,"Redick, JJ",90.7,200,13
Tulane University,USA,1995-02-07,Cameron,6,8,2.03,1,,Tulane University/USA,Reynolds,2018,1629244,G-F,1610612749,"Reynolds, Cameron",102.1,225,1
Tennessee,USA,1993-09-15,Josh,6,6,1.98,1,,Tennessee/USA,Richardson,2015,1626196,G-F,1610612755,"Richardson, Josh",90.7,200,4
Duke,USA,1992-08-01,Austin,6,4,1.93,1,25,Duke/USA,Rivers,2012,203085,G,1610612745,"Rivers, Austin",90.7,200,7
Colorado,USA,1991-12-04,Andre,6,7,2.01,1,21,Colorado/USA,Roberson,2013,203460,G-F,1610612760,"Roberson, Andre",95.3,210,6
Florida,USA,1995-03-07,Devin,6,8,2.03,1,,Florida/USA,Robinson,2017,1628421,F,1610612761,"Robinson, Devin",90.7,200,2
Michigan,USA,1994-04-22,Duncan,6,8,2.03,1,55,Michigan/USA,Robinson,2018,1629130,F,1610612748,"Robinson, Duncan",95.3,210,1
Boston College,USA,1997-02-22,Jerome,6,5,1.96,1,10,Boston College/USA,Robinson,2018,1629010,G,1610612746,"Robinson, Jerome",86.2,190,1
Virginia Tech,USA,1997-10-12,Justin,6,2,1.88,1,,Virginia Tech/USA,Robinson,,1629620,G,1610612764,"Robinson, Justin",88.5,195,0
Western Kentucky University,USA,1998-04-01,Mitchell,7,1,2.16,1,23,Western Kentucky University/USA,Robinson,2018,1629011,C,1610612752,"Robinson, Mitchell",108.9,240,1
Michigan,USA,1994-01-08,Glenn,6,6,1.98,1,,Michigan/USA,Robinson III,2014,203922,G-F,1610612744,"Robinson III, Glenn",100.7,222,5
University of Nebraska?Lincoln,USA,1998-02-03,Isaiah,6,8,2.03,1,,University of Nebraska?Lincoln/USA,Roby,,1629676,F,1610612742,"Roby, Isaiah",104.3,230,0
 ,USA,1986-02-22,Rajon,6,1,1.85,1,9,Kentucky/USA,Rondo,2006,200765,G,1610612747,"Rondo, Rajon",84.4,186,13
Memphis,USA,1988-10-04,Derrick,6,3,1.9,1,25,Memphis/USA,Rose,2008,201565,G,1610612765,"Rose, Derrick",90.7,200,11
Washington,USA,1991-02-05,Terrence,6,7,2.01,1,8,Washington/USA,Ross,2012,203082,G-F,1610612753,"Ross, Terrence",93.4,206,7
Louisville,USA,1994-03-17,Terry,6,1,1.85,1,,Louisville/USA,Rozier,2015,1626179,G,1610612766,"Rozier, Terry",86.2,190,4
 ,Spain,1990-10-21,Ricky,6,4,1.93,1,11,FC Barcelona/Spain,Rubio,2011,201937,G,1610612756,"Rubio, Ricky",86.2,190,8
Ohio State,USA,1996-02-23,D'Angelo,6,5,1.96,1,,Ohio State/USA,Russell,2015,1626156,G,1610612744,"Russell, D'Angelo",89.8,198,4
Gonzaga,Lithuania,1996-05-03,Domantas,6,11,2.11,1,11,Gonzaga/Lithuania,Sabonis,2016,1627734,F,1610612754,"Sabonis, Domantas",108.9,240,3
 ,Croatia,2000-01-09,Luka,6,11,2.11,1,19, Croatia/Croatia,Samanic,,1629677,F,1610612759,"Samanic, Luka",103.0,227,0
Louisiana State University,USA,1997-05-01,Brandon,6,5,1.96,1,44,Louisiana State University/USA,Sampson,2018,1629102,G,1610612741,"Sampson, Brandon",83.5,184,1
"St. John's, N.Y.",USA,1993-03-20,JaKarr,6,9,2.06,1,14,St. John's (NY)/USA,Sampson,2014,203960,F,1610612754,"Sampson, JaKarr",97.5,215,4
 ,Croatia,1994-04-08,Dario,6,10,2.08,1,20,Anadolu Efes (Turkey)/Croatia,Saric,2016,203967,F,1610612756,"Saric, Dario",102.1,225,3
 ,Czech Republic,1991-10-30,Tomas,6,7,2.01,1,31, Czech Republic/Czech Republic,Satoransky,2016,203107,G-F,1610612741,"Satoransky, Tomas",95.3,210,3
University of Tennessee,United Kingdom,1997-03-30,Admiral,6,5,1.96,1,, United Kingdom/United Kingdom,Schofield,,1629678,F,1610612764,"Schofield, Admiral",109.3,241,0
 ,Germany,1993-09-15,Dennis,6,1,1.85,1,17,Germany/Germany,Schroder,2013,203471,G,1610612760,"Schroder, Dennis",78.0,172,6
Virginia,USA,1988-07-16,Mike,6,8,2.03,1,1,Virginia/USA,Scott,2012,203118,F,1610612755,"Scott, Mike",107.5,237,7
University of Alabama,USA,1999-01-04,Collin,6,2,1.88,1,2,University of Alabama/USA,Sexton,2018,1629012,G,1610612739,"Sexton, Collin",86.2,190,1
Wichita State University,USA,1997-03-13,Landry,6,5,1.96,1,20,Wichita State University/USA,Shamet,2018,1629013,G,1610612746,"Shamet, Landry",85.3,188,1
Iowa State University,Canada,1995-07-26,Marial,6,5,1.96,1,, Canada/Canada,Shayok,,1629621,G,1610612755,"Shayok, Marial",88.9,196,0
New Mexico State,Cameroon,1994-04-02,Pascal,6,9,2.06,1,43,New Mexico State/Cameroon,Siakam,2016,1627783,F,1610612761,"Siakam, Pascal",104.3,230,3
University of South Carolina,Gabon,1996-09-19,Chris,6,9,2.06,1,,South Carolina/Gabon,Silva,,1629735,F,1610612748,"Silva, Chris",102.1,225,0
Louisiana State,Australia,1996-07-20,Ben,6,10,2.08,1,25,Louisiana State/Australia,Simmons,2017,1627732,G-F,1610612755,"Simmons, Ben",104.3,230,3
 ,USA,1999-06-08,Anfernee,6,4,1.93,1,1,USA/USA,Simons,2018,1629014,G,1610612757,"Simons, Anfernee",83.9,185,1
 ,Lithuania,2000-06-10,Deividas,6,8,2.03,1,37, Lithuania,Sirvydis,,1629686,G,1610612765,"Sirvydis, Deividas",86.2,190,0
 ,Serbia,2000-08-18,Alen,6,9,2.06,1,, Serbia/Serbia,Smailagic,,1629346,F,1610612744,"Smailagic, Alen",98.0,216,0
Oklahoma State,USA,1994-03-06,Marcus,6,4,1.93,1,36,Oklahoma State/USA,Smart,2014,203935,G,1610612738,"Smart, Marcus",99.8,220,5
Wake Forest,USA,1988-07-05,Ish,6,0,1.83,1,,Wake Forest/USA,Smith,2010,202397,G,1610612764,"Smith, Ish",79.4,175,9
Texas Tech University,USA,1999-06-04,Zhaire,6,4,1.93,1,8,Texas Tech University/USA,Smith,2018,1629015,G,1610612755,"Smith, Zhaire",90.3,199,1
North Carolina State,USA,1997-11-25,Dennis,6,3,1.9,1,5,North Carolina State/USA,Smith Jr.,2017,1628372,G,1610612752,"Smith Jr., Dennis",88.5,195,2
 ,USA,1991-11-10,Tony,6,7,2.01,1,17,New Mexico/USA,Snell,2013,203503,G,1610612765,"Snell, Tony",96.6,213,6
Louisville,USA,1997-03-11,Ray,6,10,2.08,1,,Louisville/USA,Spalding,2018,1629034,F,1610612737,"Spalding, Ray",97.5,215,1
Villanova University,USA,1997-07-21,Omari,6,9,2.06,1,,Villanova University/USA,Spellman,2018,1629016,F,1610612744,"Spellman, Omari",111.1,245,1
DePaul University,USA,1996-03-28,Max,6,6,1.98,1,,DePaul University/USA,Strus,,1629622,G,1610612738,"Strus, Max",97.5,215,0
Xavier,USA,1995-12-31,Edmond,6,6,1.98,1,5,Xavier/USA,Sumner,2017,1628410,G,1610612754,"Sumner, Edmond",79.8,176,2
Purdue,USA,1997-04-18,Caleb,6,9,2.06,1,50,Purdue/USA,Swanigan,2017,1628403,F,1610612758,"Swanigan, Caleb",113.4,250,2
Duke,USA,1998-03-03,Jayson,6,8,2.03,1,0,Duke/USA,Tatum,2017,1628369,F,1610612738,"Tatum, Jayson",94.3,208,2
Wake Forest,USA,1988-06-10,Jeff,6,2,1.88,1,0,Wake Forest/USA,Teague,2009,201952,G,1610612750,"Teague, Jeff",88.5,195,10
Louisiana State,USA,1986-05-08,Garrett,6,6,1.98,1,,Louisiana State/USA,Temple,2009,202066,G-F,1610612751,"Temple, Garrett",88.5,195,9
 ,Germany,1992-04-04,Daniel,6,8,2.03,1,27,Germany/Germany,Theis,2017,1628464,F,1610612738,"Theis, Daniel",110.2,243,2
Washington,USA,1989-02-07,Isaiah,5,9,1.75,1,,Washington/USA,Thomas,2011,202738,G,1610612764,"Thomas, Isaiah",83.9,185,8
Creighton University,USA,1996-05-08,Khyri,6,3,1.9,1,13,Creighton University/USA,Thomas,2018,1629017,G,1610612765,"Thomas, Khyri",95.3,210,1
Iowa State University,USA,1994-08-04,Matt,6,5,1.96,1,,Iowa State/USA,Thomas,,1629744,G,1610612761,"Thomas, Matt",86.2,190,0
Washington State,USA,1990-02-08,Klay,6,7,2.01,1,11,Washington State/USA,Thompson,2011,202691,G,1610612744,"Thompson, Klay",97.5,215,8
Texas,Canada,1991-03-13,Tristan,6,10,2.08,1,13,Texas/Canada,Thompson,2011,202684,C-F,1610612739,"Thompson, Tristan",108.0,238,8
University of Washington,USA,1997-03-04,Matisse,6,5,1.96,1,,University of Washington/USA,Thybulle,,1629680,G-F,1610612755,"Thybulle, Matisse",90.7,200,0
Creighton,USA,1985-06-01,Anthony,6,8,2.03,1,43,Creighton/USA,Tolliver,2008,201229,F,1610612757,"Tolliver, Anthony",113.4,250,11
Kentucky,USA,1995-11-15,Karl-Anthony,7,0,2.13,1,32,Kentucky/USA,Towns,2015,1626157,C,1610612750,"Towns, Karl-Anthony",112.5,248,4
Duke University,USA,1999-01-18,Gary,6,6,1.98,1,2,Duke University/USA,Trent Jr.,2018,1629018,G,1610612757,"Trent Jr., Gary",93.0,205,1
University of Arizona,USA,1996-01-17,Allonzo,6,5,1.96,1,14,University of Arizona/USA,Trier,2018,1629019,G,1610612752,"Trier, Allonzo",90.7,200,1
Texas,USA,1985-05-05,PJ,6,6,1.98,1,17,Texas/USA,Tucker,2006,200782,F,1610612745,"Tucker, PJ",111.1,245,8
Ohio State,USA,1988-10-27,Evan,6,7,2.01,1,,Ohio State/USA,Turner,2010,202323,G-F,1610612737,"Turner, Evan",99.8,220,9
Texas,USA,1996-03-24,Myles,6,11,2.11,1,33,Texas/USA,Turner,2015,1626167,C-F,1610612754,"Turner, Myles",113.4,250,4
 ,Lithuania,1992-05-06,Jonas,7,0,2.13,1,17,"Utena, Lithuania/Lithuania",Valanciunas,2012,202685,C,1610612763,"Valanciunas, Jonas",120.2,265,7
Michigan State,USA,1993-11-16,Denzel,6,6,1.98,1,45,Michigan State/USA,Valentine,2016,1627756,G,1610612741,"Valentine, Denzel",95.3,210,3
University of Kentucky,USA,1999-04-03,Jarred,6,9,2.06,1,8,University of Kentucky/USA,Vanderbilt,2018,1629020,F,1610612743,"Vanderbilt, Jarred",97.1,214,1
Wichita State,USA,1994-02-25,Fred,6,0,1.83,1,23,Wichita State/USA,VanVleet,2016,1627832,G,1610612761,"VanVleet, Fred",88.5,195,3
Indiana,USA,1995-08-24,Noah,6,9,2.06,1,,Indiana/USA,Vonleh,2014,203943,F,1610612750,"Vonleh, Noah",113.4,250,5
USC,Montenegro,1990-10-24,Nikola,7,0,2.13,1,9,USCMontenegro/Montenegro,Vucevic,2011,202696,C,1610612753,"Vucevic, Nikola",117.9,260,8
Kansas State,USA,1996-11-20,Dean,6,10,2.08,1,,Kansas State/USA,Wade,,1629731,F,1610612739,"Wade, Dean",103.4,228,0
University of Michigan,Germany,1997-04-26,Moritz,6,11,2.11,1,,University of Michigan/Germany,Wagner,2018,1629021,C,1610612764,"Wagner, Moritz",111.1,245,1
Syracuse,USA,1991-12-10,Dion,6,4,1.93,1,11,Syracuse/USA,Waiters,2012,203079,G,1610612748,"Waiters, Dion",97.5,215,7
Connecticut,USA,1990-05-08,Kemba,6,1,1.85,1,8,Connecticut/USA,Walker,2011,202689,G,1610612738,"Walker, Kemba",83.5,184,8
University of Miami,USA,1998-12-14,Lonnie,6,5,1.96,1,1,University of Miami/USA,Walker IV,2018,1629022,G,1610612759,"Walker IV, Lonnie",93.0,205,1
Kentucky,USA,1990-09-06,John,6,4,1.93,1,2,Kentucky/USA,Wall,2010,202322,G,1610612764,"Wall, John",95.3,210,9
California,USA,1994-06-10,Tyrone,6,5,1.96,1,,California/USA,Wallace,2017,1627820,G,1610612750,"Wallace, Tyrone",89.8,198,2
,USA,1989-07-25,Brad,6,4,1.93,1,9,Pittsburgh/USA,Wanamaker,2018,202954,G,1610612738,"Wanamaker, Brad",95.3,210,1
North Carolina State,USA,1993-09-05,T.J.,6,8,2.03,1,1,North Carolina State/USA,Warren,2014,203933,F,1610612754,"Warren, T.J.",97.5,215,5
University of Kentucky,USA,1998-08-23,P.J.,6,7,2.01,1,,University of Kentucky/USA,Washington,,1629023,F,1610612766,"Washington, P.J.",107.0,236,0
,Japan,1994-10-13,Yuta,6,9,2.06,1,12,George Washington/Japan,Watanabe,2018,1629139,G-F,1610612763,"Watanabe, Yuta",93.0,205,1
Louisiana State University,USA,1998-01-10,Tremont,5,11,1.8,1,51, USA/USA,Waters,,1629682,G,1610612738,"Waters, Tremont",78.0,172,0
Mississippi State University,USA,1996-09-10,Quinndary,6,4,1.93,1,,Mississippi State University/USA,Weatherspoon,,1629683,G,1610612759,"Weatherspoon, Quinndary",93.9,207,0
,USA,1996-02-03,Thomas,7,0,2.13,1,, USA/USA,Welsh,2018,1629118,C,1610612766,"Welsh, Thomas",115.7,255,1
UCLA,USA,1988-11-12,Russell,6,3,1.9,1,0,UCLA/USA,Westbrook,2008,201566,G,1610612745,"Westbrook, Russell",90.7,200,11
University of North Carolina at Cha,USA,2000-02-16,Coby,6,5,1.96,1,0,University of North Carolina/USA,White,,1629632,G,1610612741,"White, Coby",86.6,191,0
Colorado,USA,1994-07-02,Derrick,6,4,1.93,1,4,Colorado/USA,White,2017,1628401,G,1610612759,"White, Derrick",86.2,190,2
Marshall,USA,1989-06-13,Hassan,7,0,2.13,1,21,MarshallUSA/USA,Whiteside,2010,202355,C,1610612757,"Whiteside, Hassan",120.2,265,7
Kansas,Canada,1995-02-23,Andrew,6,8,2.03,1,22,Kansas/Canada,Wiggins,2014,203952,F-G,1610612750,"Wiggins, Andrew",88.0,194,5
Washington,USA,1990-12-30,CJ,6,5,1.96,1,16,Washington/USA,Wilcox,2014,203912,G,1610612754,"Wilcox, CJ",88.5,195,5
University of Tennessee,USA,1998-11-30,Grant,6,7,2.01,1,40,University of Tennessee/USA,Williams,,1629684,F,1610612738,"Williams, Grant",108.9,240,0
Texas Christian University,USA,1994-12-02,Kenrich,6,7,2.01,1,34,Texas Christian University/USA,Williams,2018,1629026,G-F,1610612740,"Williams, Kenrich",95.3,210,1
No College,USA,1986-10-27,Lou,6,1,1.85,1,23,"South Gwinnett HS (Snellville, GA)/USA",Williams,2005,101150,G,1610612746,"Williams, Lou",79.4,175,14
North Carolina,USA,1986-06-19,Marvin,6,9,2.06,1,2,North CarolinaUSA/USA,Williams,2005,101107,F,1610612766,"Williams, Marvin",107.5,237,14
Indiana,USA,1994-12-30,Troy,6,7,2.01,1,19,Indiana/USA,Williams,2016,1627786,F,1610612758,"Williams, Troy",98.9,218,3
Gonzaga,USA,1994-09-16,Nigel,6,3,1.9,1,0,Gonzaga/USA,Williams-Goss,,1628430,G,1610612762,"Williams-Goss, Nigel",86.2,190,0
Texas A&M University,USA,1997-10-17,Robert,6,10,2.08,1,44,Texas A&M University/USA,Williams III,2018,1629057,C-F,1610612738,"Williams III, Robert",108.9,240,1
Duke University,USA,2000-07-06,Zion,6,7,2.01,1,1,Duke University/USA,Williamson,,1629627,F,1610612740,"Williamson, Zion",129.3,285,0
Michigan,USA,1996-02-19,D.J.,6,10,2.08,1,5,Michigan/USA,Wilson,2017,1628391,F,1610612749,"Wilson, D.J.",104.8,231,2
Belmont University,USA,1996-09-22,Dylan,6,8,2.03,1,,Belmont University/USA,Windler,,1629685,G-F,1610612739,"Windler, Dylan",88.9,196,0
Duke,USA,1996-03-26,Justise,6,7,2.01,1,20,Duke/USA,Winslow,2015,1626159,F-G,1610612748,"Winslow, Justise",102.1,225,4
UNLV,USA,1995-09-27,Christian,6,10,2.08,1,35,UNLV/USA,Wood,2015,1626174,F,1610612765,"Wood, Christian",97.1,214,3
Utah,USA,1992-04-26,Delon,6,5,1.96,1,,Utah/USA,Wright,2015,1626153,G,1610612742,"Wright, Delon",83.0,183,4
Hofstra University,USA,1997-10-27,Justin,6,2,1.88,1,3,Hofstra University/USA,Wright-Foreman,,1629625,G,1610612762,"Wright-Foreman, Justin",86.2,190,0
Georgia Tech,USA,1988-06-21,Thaddeus,6,8,2.03,1,21,Georgia Tech/USA,Young,2007,201152,F,1610612741,"Young, Thaddeus",100.2,221,12
University of Oklahoma,USA,1998-09-19,Trae,6,2,1.88,1,11,University of Oklahoma/USA,Young,2018,1629027,G,1610612737,"Young, Trae",81.6,180,1
Indiana,USA,1992-10-05,Cody,7,0,2.13,1,40,Indiana/USA,Zeller,2013,203469,C,1610612766,"Zeller, Cody",108.9,240,6
 ,Croatia,1997-01-04,Ante,6,11,2.11,1,41,Croatia/Croatia,Zizic,2017,1627790,C,1610612739,"Zizic, Ante",115.2,254,2
 ,Croatia,1997-03-18,Ivica,7,1,2.16,1,40,Mega Leks/Croatia,Zubac,2016,1627826,C,1610612746,"Zubac, Ivica",108.9,240,3
